nectary.depth	flower.number	largo.ext	frutos	fruct	exported.pollinaria	prop.pol
4.79	64	2.29996	59	0.921875	26	0.5
NA	26	NA	24	0.923076923	4	0.181818182
5.49	91	2.39085	75	0.824175824	38	0.436781609
4.41	32	2.18795	25	0.78125	14	0.451612903
4.345	78	2.58645	76	0.974358974	25	0.320512821
4.905	47	2.24075	45	0.957446809	30	0.666666667
4.63	49	2.06375	41	0.836734694	21	0.446808511
4.58	110	1.9636	103	0.936363636	58	0.630434783
4.22	49	1.9472	70	1.428571429	2	0.052631579
5.145	102	2.7889	94	0.921568627	43	0.457446809
4.41	81	2.13195	73	0.901234568	37	0.513888889
4.11	42	2.5165	39	0.928571429	19	0.475
4.27	39	2.65745	34	0.871794872	18	0.529411765
4.845	127	1.96105	108	0.850393701	46	0.380165289
4.14	59	2.58655	55	0.93220339	23	0.410714286
4.69	11	2.88655	1	0.090909091	0	0
4.71	33	2.1167	28	0.848484848	19	0.678571429
4.505	38	2.4171	33	0.868421053	8	0.285714286
4.365	19	2.17465	12	0.631578947	11	0.733333333
5.155	96	1.92105	93	0.96875	34	0.365591398
4.165	30	2.2162	25	0.833333333	11	0.423076923
3.93	8	2.48705	5	0.625	2	0.333333333
3.97	38	2.41025	36	0.947368421	15	0.416666667
3.965	64	2.00015	51	0.796875	14	0.229508197
3.84	96	2.0761	94	0.979166667	31	0.352272727
4.105	55	2.20845	53	0.963636364	14	0.254545455
4.18	64	2.2188	51	0.796875	16	0.253968254
4.03	42	2.05085	42	1	17	0.404761905
3.79	21	2.49805	18	0.857142857	9	0.5
4.025	74	2.52655	68	0.918918919	19	0.263888889
4.62	21	1.8144	16	0.761904762	11	0.6875
NA	28	NA	41	1.464285714	6	0.260869565
5.175	36	1.7199	35	0.972222222	24	0.727272727
3.19	14	3.09685	13	0.928571429	1	0.076923077
5.035	18	1.6589	17	0.944444444	5	0.294117647
5.27	66	1.5124	57	0.863636364	26	0.481481481
3.915	25	2.2927	20	0.8	8	0.347826087
4.36	15	2.05415	19	1.266666667	3	0.230769231
5.01	40	1.87445	39	0.975	26	0.666666667
3.745	23	2.8147	21	0.913043478	4	0.2
3.57	14	3.1844	11	0.785714286	3	0.25
4.585	37	1.7165	35	0.945945946	15	0.428571429
4.025	27	2.1383	12	0.444444444	6	0.333333333
4.415	79	2.2533	76	0.962025316	48	0.657534247
4.345	102	2.32285	100	0.980392157	46	0.455445545
4.38	86	2.79835	73	0.848837209	35	0.486111111
3.815	76	2.7705	73	0.960526316	34	0.465753425
3.995	17	1.851	12	0.705882353	7	0.411764706
4.275	23	1.88815	22	0.956521739	9	0.409090909
3.745	131	2.1635	109	0.832061069	16	0.125
3.95	142	2.16575	118	0.830985915	29	0.21641791
4.23	50	2.1629	44	0.88	16	0.340425532
4.42	32	2.28315	31	0.96875	15	0.5
3.615	24	2.78435	21	0.875	12	0.545454545
4.51	31	2.38375	25	0.806451613	10	0.4
4.375	75	2.3077	74	0.986666667	22	0.314285714
4.555	30	1.8584	31	1.033333333	12	0.428571429
4.29	28	2.19215	28	1	12	0.428571429
4.255	18	2.76605	16	0.888888889	6	0.375
4.175	26	2.7777	16	0.615384615	2	0.1
4.275	93	2.40155	86	0.924731183	39	0.438202247
4.23	28	2.3106	23	0.821428571	3	0.157894737
4.89	76	2.5084	75	0.986842105	23	0.306666667
3.935	26	2.5521	21	0.807692308	10	0.476190476
3.97	12	2.67075	8	0.666666667	3	0.3
3.855	19	2.768	5	0.263157895	4	0.5
4.2033	73	2.49995	68	0.931506849	26	0.371428571
4.92	15	1.9379	14	0.933333333	10	0.714285714
4.45	21	3.09725	6	0.285714286	7	0.466666667
4.405	45	2.7215	41	0.911111111	15	0.348837209
3.87	20	2.2764	16	0.8	6	0.375
4.28	19	2.6	14	0.736842105	6	0.375
4.205	24	2.0764	22	0.916666667	14	0.636363636
4.53	18	2.34945	16	0.888888889	3	0.1875
3.675	27	3.1022	24	0.888888889	5	0.2
4.18	14	2.63095	13	0.928571429	1	0.083333333
3.755	22	3.28395	18	0.818181818	3	0.15
4.45	40	2.813	38	0.95	14	0.368421053
4.275	33	2.53705	32	0.96969697	13	0.40625
4.635	15	2.888	12	0.8	3	0.230769231
4.12	32	2.38145	30	0.9375	4	0.133333333
4.44	13	2.68855	13	1	2	0.181818182
4.005	7	2.41245	7	1	1	0.142857143
4.735	7	1.8156	2	0.285714286	0	0
4.77	36	3.1573	33	0.916666667	9	0.272727273
