planta	dano	crec	flor.dias	frutos
257	0.08681523	0.90675387	73	4
275	NA	0.690696	46	0
277	0.09653532	1.17284482	45	6
287	0.06891075	0.85579431	70	0
293	0.12751092	1.29409808	63	2
295	0.18158593	1.07110726	64	0
297	0.16107107	0.71065198	52	0
299	0.08419039	1.29342109	55	3
301	NA	0.88751122	77	0
303	0.19836792	1.05553462	64	2
305	0.09774354	1.37034662	55	7
307	0.14724828	1.06348967	61	1
311	0.13395544	1.22314717	55	6
315	NA	1.11828419	68	0
319	NA	0.93326206	83	0
331	0.1122034	0.93583194	55	0
333	0.10134538	0.97883861	68	0
343	0.06575511	0.83609363	70	0
345	0.13778525	1.13745203	59	0
347	0.10567253	1.32168262	55	6
351	0.10981682	0.94074244	68	0
361	0.11515478	0.92133605	51	3
365	0.09333408	0.83236366	73	0
373	0.0969385	0.89730439	55	0
375	NA	0.97883861	48	3
377	0.07046158	1.09755906	56	1
381	0.18227862	1.21650551	45	9
385	0.08475653	1.10390903	64	1
397	0.15449222	1.26869882	53	1
403	0.21107477	0.99745084	73	0
405	0.16096567	1.13185355	70	0
417	0.23864785	1.18464358	45	1
423	0.0803422	0.94074244	64	3
425	0.10431554	0.97235703	55	0
427	0.10191232	1.20841273	59	4
431	0.05577553	0.87632514	64	0
433	0.10840254	0.92471269	59	0
435	0.16085274	1.13745203	59	0
439	0.08638115	1.21142482	59	2
441	0.13558098	1.06913016	61	1
443	0.11321264	1.16757103	49	1
445	0.18098976	1.17284482	64	0
449	NA	0.96497897	73	0
459	0.20127716	0.96207384	42	0
461	0.16056997	1.02506762	64	0
467	0.15226847	0.93583194	63	0
469	0.11826513	0.95739304	73	0
473	0.10483011	0.98653307	58	0
485	0.11383274	1.12368063	59	0
487	0.16804368	1.12779809	59	0
491	NA	0.93326206	61	0
495	0.15349478	1.10390903	59	0
497	0.22950527	0.8247988	48	0
501	0.10798057	0.92471269	64	1
503	0.14501673	1.2956211	51	4
505	0.16065472	1.17284482	68	0
507	0.07974158	1.02689761	70	0
771	0.06643672	0.65510648	56	0
775	0.08720179	0.82374293	48	3
781	0.11199459	0.57009283	66	0
785	0.17373855	0.82759337	58	3
787	0.09531814	0.94198934	51	6
789	0.03316181	0.65076138	82	0
791	0.1767508	0.83609363	61	0
793	NA	0.62818466	42	0
795	0.12593183	0.81190619	52	2
797	NA	0.49592057	70	0
799	0.07984482	0.66033078	44	1
801	0.14824659	0.78735463	67	1
803	0.20387597	1.17337215	48	8
805	0.08721452	0.92999158	51	0
807	0.15802179	1.43248144	62	1
809	0.14063273	0.90583663	54	1
811	0.04087943	0.8247988	58	0
815	NA	0.53555246	57	0
819	0.26825455	1.07317833	51	2
821	0.17282254	0.80536729	56	0
823	0.11461259	0.97275041	48	4
825	NA	0.60070222	64	0
827	0.1705082	0.67594117	62	0
831	0.1461084	0.43339348	51	0
833	0.194578	0.62004589	55	0
841	0.16991237	0.57009283	52	0
843	0.10559295	0.75310392	62	1
845	0.24870387	0.82759337	48	3
847	0.09356126	0.62559585	76	0
849	0.14042358	0.71649037	57	0
853	0.11585809	0.96953084	42	8
855	0.17336811	0.92133605	52	1
859	0.07255973	0.60943741	62	0
861	0.08006666	1.43194649	54	2
863	0.19813076	0.88136339	51	1
865	NA	0.59167414	46	0
867	NA	0.73615226	52	2
869	NA	0.6969783	76	0
871	0.11051829	0.67594117	66	0
873	0.20249756	0.81483707	39	1
875	0.08723508	0.55661729	62	1
877	0.46953748	0.97386834	48	6
881	0.16052412	0.91035627	62	2
887	0.14111118	0.84886803	56	3
889	0.23747731	0.73294321	67	0
891	0.27183191	0.87331753	62	3
893	0.44085826	0.90583663	67	0
895	0.07952872	0.94324225	41	2
899	0.09756068	0.57986073	55	0
907	0.20705284	0.9937146	57	3
909	0.09354759	0.73468364	46	2
911	0.25725564	0.85468559	52	1
913	0.12176289	0.74002848	70	0
917	NA	0.52399957	76	0
919	0.26721908	0.70311738	67	1
921	0.11830418	0.89356344	56	1
923	0.3118829	0.78410693	67	1
925	0.17748631	0.75009175	54	1
927	0.34083554	1.00683562	51	13
929	0.09340561	0.74002848	62	0
931	0.21142433	0.75172513	82	0
933	0.10691595	0.75172513	48	0
935	0.2700117	0.94324225	44	7
937	NA	0.91936606	54	1
939	0.21069475	1.05835209	48	4
941	0.09697036	0.96424033	52	3
945	NA	0.66691987	61	2
947	0.13529305	0.71649037	56	0
951	NA	0.63036286	67	0
953	NA	0.99745084	62	6
955	0.20160267	0.87632514	57	0
957	0.2884421	0.98100997	58	4
959	0.20466494	0.82374293	67	0
961	0.2513411	1.43102952	62	2
963	0.19991989	0.86014118	67	0
965	0.38178864	0.84886803	51	2
973	0.21798834	0.93500874	54	10
977	0.15146052	0.60943741	67	0
981	NA	0.98229187	51	4
983	0.15413097	0.85812071	54	1
989	0.14653541	0.61737725	41	0
991	0.12343551	0.87949657	52	0
995	0.35029919	0.9086806	62	3
997	NA	0.57986073	62	0
999	0.42084849	0.95123146	54	2
1003	0.24602707	0.87652437	61	0
1007	0.1797199	0.60943741	67	0
1009	0.24467398	0.90103456	62	0
1011	0.3785622	0.78735463	70	0
1013	0.16749803	1.0475622	62	0
1015	0.30999464	0.90725566	48	5
1017	0.17383243	0.91035627	48	4
1019	0.07260436	0.74002848	46	1
1021	0.09456843	0.59328768	48	1
1023	NA	0.65312021	55	0
1283	0.22780722	1.21560206	59	3
1287	0.07762529	0.79288591	61	0
1289	0.13454438	0.90958821	68	3
1293	0.07601336	1.03098616	64	0
1297	0.08624996	0.9520066	63	0
1299	0.07034166	1.11269455	59	0
1301	0.14275951	1.06348967	59	1
1305	0.11229229	0.93243094	45	4
1311	0.08033551	0.84790261	55	5
1327	NA	1.07910473	67	0
1329	0.14202458	1.15018273	59	3
1331	0.1063245	1.06862867	56	3
1335	0.11887445	1.21142482	59	1
1343	NA	0.76775204	73	0
1345	0.1223009	1.22714778	61	0
1347	0.25256416	1.32758427	55	10
1351	0.19067832	0.90675387	46	0
1353	0.05826271	1.00200786	61	1
1355	0.15929734	1.15865036	45	2
1357	0.21597866	1.16481853	49	6
1359	0.10902972	1.00585605	52	4
