seed_number	style_deflex	flower_size	stigma_area	pollen_depos	plant_size
73.0000	-0.3333	44.4700	15.6815	2344.6700	50.0000
219.0000	-1.5200	33.7933	10.0909	1380.6967	175.0000
55.0000	-1.0967	32.6000	13.9513	976.0000	46.0000
33.0000	-1.1921	35.2350	12.1458	350.0400	43.0000
102.0000	-0.5800	38.1900	14.2584	1506.3300	54.0000
106.0000	-0.8733	39.9900	14.3900	3463.0000	68.0000
78.0000	-1.0400	36.7367	13.2450	1907.6667	62.0000
154.0000	-1.7933	34.5067	17.3650	2172.0000	76.0000
125.0000	1.8900	40.2350	20.3730	770.1700	59.0000
93.0000	-1.0300	35.9300	12.4808	1406.3350	92.0000
32.0000	-2.0500	35.5200	11.8504	698.3300	70.0000
100.0000	2.0117	30.4800	15.4278	828.7500	132.0000
0.0000	2.2100	37.3200	16.4412	294.0000	48.5000
93.0000	-3.2250	39.6600	11.0765	1074.2500	50.0000
115.0000	-0.6278	34.0633	12.2810	1454.9433	133.0000
0.0000	0.4100	26.5700	12.0573	485.0000	80.0000
37.0000	0.3033	34.1033	10.3035	359.5567	86.0000
47.0000	0.6267	29.4250	7.0115	1771.3300	53.0000
81.0000	-0.9578	28.0467	12.8192	1158.0000	59.0000
95.0000	-0.3667	39.3850	14.9938	2473.5000	86.0000
8.0000	-0.7733	36.1950	13.3677	670.0000	70.0000
67.0000	-0.6233	38.9300	25.1627	212.0000	42.0000
90.0000	0.1367	31.9700	12.8573	277.3367	107.0000
0.0000	1.3467	32.1133	11.2849	357.7800	91.0000
36.0000	-1.1100	32.7800	9.7559	1405.1650	66.0000
153.0000	-0.2710	32.0660	14.5234	1083.9500	100.0000
151.0000	-1.0833	37.6367	10.6044	2438.6667	113.0000
102.0000	1.0100	39.4400	16.6629	195.6700	48.0000
62.0000	-2.2033	37.8000	7.1512	2543.0000	44.0000
102.0000	-2.5617	38.8600	13.7914	1958.6650	69.0000
55.0000	-0.1233	31.9900	9.2417	166.6700	74.0000
145.0000	-2.1033	30.8800	13.6961	1743.3300	73.0000
80.0000	-0.7300	37.3400	9.9023	2299.0000	105.0000
85.0000	2.0311	26.8800	15.2557	313.3333	100.5000
131.0000	-0.7267	39.9100	18.0258	1756.0000	106.0000
80.0000	-2.2822	35.2267	15.6486	2327.2233	84.0000
73.0000	-1.4533	34.4900	11.0369	2157.0000	38.0000
24.0000	-0.4700	38.3800	18.0047	976.0000	66.0000
55.0000	-0.6711	33.4167	9.8372	686.1133	61.0000
0.0000	4.5417	32.2100	20.3870	637.1650	52.0000
77.0000	-1.0138	38.3600	17.8766	1594.4150	59.5000
100.0000	-1.3467	41.8400	17.1004	2094.3300	46.5000
0.0000	-1.8800	35.7900	15.0904	96.6700	138.5000
147.0000	-2.8483	38.5900	18.1919	662.0000	117.0000
89.0000	-1.5700	38.5000	11.3278	2585.0000	32.0000
53.0000	4.7033	39.2900	16.9149	284.6700	24.0000
37.0000	-0.5867	37.6800	11.7781	373.0000	16.0000
0.0000	-1.6550	37.7450	14.4841	1791.6650	26.0000
0.0000	-1.1133	33.0900	13.6326	1411.0000	23.0000
71.0000	-1.0133	38.8700	17.1595	1437.3300	53.0000
0.0000	-1.9567	38.0600	12.0711	505.5000	80.5000
0.0000	1.2908	33.3150	15.3136	2227.5400	73.0000
0.0000	-1.1033	36.1200	12.7577	3590.0000	30.0000
67.0000	0.5750	40.9400	19.9940	1046.5000	53.0000
0.0000	-1.3067	32.2700	8.9266	523.3300	63.0000
53.0000	-1.7300	35.7800	17.7840	2547.0000	57.0000
76.0000	-5.0767	37.9450	10.3896	1511.0000	115.0000
71.0000	-0.4233	40.6900	14.9031	2405.6700	35.0000
60.0000	-2.0767	39.6600	24.7777	2215.3300	33.0000
51.0000	0.3633	32.5300	12.2358	1391.3300	152.0000
88.0000	-0.6133	38.2900	15.5945	1640.0000	101.0000
121.0000	-0.2067	42.4800	12.9395	790.6700	46.0000
61.0000	-0.5967	32.3900	8.9176	1240.3300	63.0000
74.0000	-0.4017	39.2150	23.2267	1307.5000	41.0000
173.0000	0.2050	32.0550	12.2071	1122.7500	91.0000
77.0000	-1.3233	36.7700	9.2866	947.6700	45.0000
0.0000	-1.8933	30.3700	12.3063	903.0000	69.0000
273.0000	2.2594	34.0200	14.1496	722.6367	150.0000
109.0000	0.2575	35.3500	14.9657	77.7500	75.0000
98.0000	2.9350	33.7150	20.7699	1061.4150	53.0000
0.0000	2.4283	30.0700	10.3234	849.5000	32.0000
59.0000	-2.6767	37.6900	10.2753	1680.6700	46.0000
29.0000	-1.4633	35.7900	14.7793	2167.3300	42.0000
199.0000	-1.0158	34.9350	12.6873	1135.6650	62.0000
60.0000	1.0633	34.9100	13.0180	411.0000	4.0000
0.0000	2.6033	34.6250	11.6577	1604.3300	124.5000
54.0000	-0.2167	38.8100	17.2661	649.0000	29.0000
86.0000	-0.5167	37.9000	12.8358	2650.3300	111.0000
70.0000	0.0700	41.1500	16.0834	160.0000	109.0000
81.0000	-0.9000	28.6200	15.1985	1077.0000	78.5000
40.0000	0.1821	33.2700	6.3679	604.5850	60.0000
56.0000	-2.6700	36.1500	14.0731	218.3300	60.0000
85.0000	-2.1717	31.0250	8.2130	1296.8350	178.0000
135.0000	-1.1500	37.7700	25.7982	3089.6700	55.0000
