animal	dano	R2	arcsinR2	Sire	Dam
1	0.094079	0.905921	1.259048	530	569
2	0.166667	0.83333333	1.150262	530	569
3	0.14739	0.85261	1.176765	530	569
4	0.13515	0.86485	1.19434	530	569
5	0.16081	0.83919	1.158176	530	569
6	0.15421	0.84579	1.167235	530	569
7	0.13497	0.86503	1.194603	530	569
8	0.18033	0.81967	1.132218	530	569
9	0.25	0.75	1.047198	530	569
10	0.093747	0.906253	1.259617	530	570
11	0.21723	0.78277	1.085942	530	570
12	0.2493	0.7507	1.048006	530	570
13	0.18475	0.81525	1.126497	530	570
14	0.12984	0.87016	1.202171	530	570
15	0.2	0.8	1.107149	530	570
16	0.14	0.86	1.187299	530	570
17	0.24421	0.75579	1.053909	531	575
18	0.1759	0.8241	1.138007	531	575
19	0.085744	0.914256	1.273621	531	575
20	0.3	0.7	0.991157	531	575
21	0.67	0.33	0.61194	531	575
22	0.35	0.65	0.937744	531	575
23	0.31	0.69	0.980296	531	575
24	0.4156	0.5844	0.870204	531	575
25	0.32562	0.67438	0.963522	531	575
26	0.2666	0.7334	1.028233	531	575
27	0.2267	0.7733	1.074547	531	575
28	0.18293	0.81707	1.128846	531	575
29	0.25471	0.74529	1.041776	531	575
30	0.16097	0.83903	1.157958	531	575
31	0.3	0.7	0.991157	531	576
32	0.20065	0.79935	1.106337	531	576
33	0.18467	0.81533	1.1266	531	576
34	0.25284	0.74716	1.043924	531	576
35	0.3	0.7	0.991157	531	576
36	0.16341	0.83659	1.154649	531	576
37	0.10268	0.89732	1.244605	531	576
38	0.21	0.79	1.094763	531	576
39	0.15	0.85	1.173097	532	577
40	0.1074	0.8926	1.236908	532	577
41	0.17672	0.82328	1.136931	532	577
42	0.1514	0.8486	1.17114	532	577
43	0.19796	0.80204	1.109704	532	577
44	0.14843	0.85157	1.1753	532	577
45	0.099425	0.900575	1.250005	532	577
46	0.33649	0.66351	0.951972	532	577
47	0.1758	0.8242	1.138139	532	577
48	0.22503	0.77497	1.076544	532	578
49	0.13939	0.86061	1.188179	532	578
50	0.37389	0.62611	0.912885	532	578
51	125	875	1.209429	532	578
52	0.27032	0.72968	1.024035	532	578
53	0.20848	0.79152	1.096631	533	579
54	0.22901	0.77099	1.071794	533	579
55	208	792	1.097222	533	579
56	0.11796	0.88204	1.220205	533	579
57	0.25118	0.74882	1.045836	533	579
58	0.25888	0.74112	1.037003	533	579
59	0.25571	0.74429	1.040629	533	579
60	0.36247	0.63753	0.924724	533	579
61	0.16	0.84	1.159279	533	579
62	0.29737	0.70263	0.99403	533	579
63	0.13	0.87	1.201933	533	579
64	0.053388	0.946612	1.337631	533	579
65	0.15897	0.84103	1.160686	533	579
66	0.1637	0.8363	1.154257	533	579
67	0.20914	0.79086	1.095819	533	579
68	0.21578	0.78422	1.087702	533	579
69	0.21637	0.78363	1.086986	533	579
