ID	FATHER	MOTHER
1	530	569
2	530	569
3	530	569
4	530	569
5	530	569
6	530	569
7	530	569
8	530	569
9	530	569
10	530	570
11	530	570
12	530	570
13	530	570
14	530	570
15	530	570
16	530	570
17	531	575
18	531	575
19	531	575
20	531	575
21	531	575
22	531	575
23	531	575
24	531	575
25	531	575
26	531	575
27	531	575
28	531	575
29	531	575
30	531	575
31	531	576
32	531	576
33	531	576
34	531	576
35	531	576
36	531	576
37	531	576
38	531	576
39	532	577
40	532	577
41	532	577
42	532	577
43	532	577
44	532	577
45	532	577
46	532	577
47	532	577
48	532	578
49	532	578
50	532	578
51	532	578
52	532	578
53	533	579
54	533	579
55	533	579
56	533	579
57	533	579
58	533	579
59	533	579
60	533	579
61	533	579
62	533	579
63	533	579
64	533	579
65	533	579
66	533	579
67	533	579
68	533	579
69	533	579
70	533	580
71	533	580
72	533	580
73	533	580
74	533	580
75	533	580
76	533	580
77	534	583
78	534	583
79	534	583
80	534	583
81	534	583
82	534	583
83	534	584
84	534	584
85	534	584
86	534	584
87	534	584
88	535	585
89	535	585
90	535	585
91	535	585
92	535	585
93	535	585
94	535	586
95	535	586
96	535	586
97	535	586
98	535	586
99	535	586
100	535	586
101	535	586
102	535	586
103	535	586
104	535	586
105	535	586
106	535	586
107	535	586
108	535	586
109	535	586
110	536	587
111	536	587
112	536	587
113	536	587
114	536	587
115	536	587
116	536	588
117	536	588
118	536	588
119	536	588
120	536	588
121	537	589
122	537	589
123	537	589
124	537	589
125	537	589
126	537	589
127	537	589
128	537	589
129	537	589
130	537	589
131	537	589
132	537	590
133	537	590
134	537	590
135	537	590
136	537	590
137	537	590
138	537	590
139	537	590
140	538	593
141	538	593
142	538	593
143	538	594
144	538	594
145	538	594
146	538	594
147	538	594
148	540	601
149	540	601
150	540	601
151	540	601
152	540	601
153	540	601
154	540	601
155	540	601
156	540	601
157	540	601
158	540	601
159	540	601
160	540	601
161	540	601
162	540	601
163	540	601
164	540	602
