ag	alg	amli	lf	le	raizare
0.0858289554	0.1192807541	-0.0189168064	0.2460953009	0.1963975775	-0.0164836314
0.1227032167	-0.0943769253	0.0634832058	-0.0241221094	0.0836375342	-0.1770735372
0.0076150658	0.0701675575	-0.3143586903	0.0179502018	-0.0751326407	0.0766721128
-0.058147557	-0.1267898976	0.1430474052	-0.1016150869	0.1473558974	0.2646280607
-0.1305209247	-0.0537122158	-0.333574003	-0.1885622861	-0.195659671	-0.0239058564
-0.0784298279	-0.0186756243	-0.0718821794	0.0001571142	0.081275061	-0.0862025099
-0.0571502541	0.0184070151	0.0070934501	0.0078079645	-0.109381154	0.2700523696
-0.0758156737	-0.0293681698	0.100817722	-0.057457738	-0.2372437134	-0.0248255407
0.0256032595	0.0141393099	0.1625489807	0.0869681494	-0.0385084086	0.0225924768
0.1230951576	-0.1285118975	0.4147374181	-0.0587855615	-0.0710141227	0.0925958599
-0.0032471492	-0.0089835938	0.0321097214	-0.0834501689	0.0800072856	0.0814595447
0.0715858931	-0.0284544296	0.0767062797	0.1662612816	0.2687493744	0.011343443
-0.0422484597	-0.065431603	-0.0460008071	0.1469228504	0.0557189663	0.1374863729
-0.2149847142	0.1138547286	-0.2148932635	0.116723091	0.1136819011	-0.1095047452
0.1416578092	-0.0370602634	0.2113372501	0.1303597803	-0.0382731016	0.1299670278
0.1417402663	0.0182914928	0.0981601991	0.0069440771	0.2015125464	0.1194872082
0.2764587402	-0.1269356671	0.2121699447	0.1008056127	-0.0921614447	0.0618820047
-0.0348433143	-0.0559147852	0.1677463664	-0.1304645251	0.0665680357	-0.1074282592
-0.0656473481	0.0392339247	-0.0631208704	-0.1926023238	0.0600295483	-0.2308987286
-0.1308524581	-0.0010747787	-0.1342481075	-0.1214684833	-0.1008240179	-0.1179389645
0.0384667219	0.0236748509	0.0448247838	-0.0406283041	-0.1188793852	-0.1479362294
0.1041361795	0.039651053	0.1399700469	-0.0705333976	0.0393408763	0.0534250938
-0.0032864587	0.028694038	-0.0002827523	-0.0419551405	0.0505130802	-0.0296869638
-0.1285003409	-0.001189684	-0.2436598378	-0.2059072149	-0.1721554903	0.128290424
0.0483190575	0.0152437226	-0.0940953492	-0.0638485492	0.025015157	-0.0889909681
0.0222884667	0.2303433905	0.1665119548	0.122844646	-0.1345570755	-0.0647520835
-0.0271388072	0.1517553514	-0.2429575612	0.0078565107	0.0733917951	0.027356991
-0.0458693438	-0.0610093903	-0.1118261231	0.0205285248	-0.1392248299	0.200335929
-0.028978925	-0.1103006576	-0.1689589459	0.1684462625	-0.0835856918	-0.1095997918
0.0011929308	0.1011109768	0.1018959147	0.106744499	0.005280823	-0.0959575002
-0.0850301636	-0.0360585831	-0.0843853465	-0.0720149775	0.058125288	-0.246389609

