ag	alg	amli	lf	le	raizare
-0.165696085	-0.2992801768	-0.2470131589	-0.0719751437	-0.1268523967	-0.0816631341
-0.1607872232	0.0437261604	-0.2631132527	-0.0012752346	0.1258629623	0.0978405547
-0.0514910994	-0.0276125652	-0.0385878485	-0.043211401	-0.1592055851	-0.1075445846
0.0969859246	0.0620904937	0.1195148532	0.013658878	0.064278176	-0.1289632655
-0.0326728974	0.1114670357	-0.0328487291	-0.031255846	-0.1434676929	0.0558684249
-0.0357337937	-0.0171079369	0.0088015599	0.0208839831	0.0138461653	0.0274006672
0.0679524337	0.0476574161	0.1917733279	-0.0085088292	-0.1111961918	-0.1808043815
0.0590752985	0.2598964137	0.2920950177	0.2140563992	-0.0449510177	0.1457319425
-0.1161343222	0.0881159707	-0.1944931944	0.0388820722	0.0658597298	-0.1244832561
-0.0434191047	0.1216761697	-0.1826416045	0.0228078883	0.0572221288	0.0407573331
-0.0719546007	-0.0144818987	-0.2706064714	-0.0572601297	0.0663355057	0.1168293896
-0.025428145	0.0314116886	-0.0066918166	0.1016569189	0.0835707931	0.0425448927
0.1122043606	0.028886505	0.2052683434	0.0936734407	0.0769529906	0.1345955255
-0.110280228	-0.0344701482	-0.0028822349	0.0986143086	0.038334896	-0.0506761096
0.0295050454	-0.1721822735	0.160141933	-0.106781378	0.0187773532	0.0525959594
0.2235819821	-0.0622640148	0.2507005769	-0.0587501285	-0.0071564967	6.31E-005
0.4625968453	0.0048256923	0.4985197837	-0.054178207	-0.0169843508	0.0993038603
0.2641466729	-0.0206652166	0.3390064386	-0.0296097559	-0.0882362932	-0.0466421201
-0.2131343714	-0.2983969251	-0.2852709235	-0.0228676647	0.0390780962	-0.0764760028
-0.0090216714	0.0758806021	0.0569334876	0.0961102324	0.0337763077	0.0960570023
-0.0359600998	0.0503105828	-0.1148634964	0.0126542013	0.1988504427	0.0376661085
-0.0355112564	0.0550145923	0.001610703	0.1724053371	-0.0480472295	-0.0353986485
-0.0747362796	-0.0102935691	-0.2853986202	-0.121950885	-0.1615162139	-0.0001910219
-0.1340873853	-0.0242045985	-0.1999546737	-0.2777790566	0.024867921	-0.1144122495

