HORQ TAPI
ag alg amli lf le raizare
31     
0.0102944171 -0.0015055948 0.0111463107 0.0042179674 0.0023334092 0.0022417301
-0.0015055948 0.0070865399 -0.0035291366 0.0021978102 0.0009218963 -0.002260095
0.0111463107 -0.0035291366 0.0296186849 0.0034737885 0.0026466028 0.0037185536
0.0042179674 0.0021978102 0.0034737885 0.013433703 0.003878598 0.0015582392
0.0023334092 0.0009218963 0.0026466028 0.003878598 0.0152591376 -0.0012713537
0.0022417301 -0.002260095 0.0037185536 0.0015582392 -0.0012713537 0.0175529181
24     
0.0229574217 0.0042726901 0.0302090088 0.0007959948 -0.0017817997 0.0032222753
0.0042726901 0.0147584282 0.0072293019 0.0060458045 0.001402342 0.0036164473
0.0302090088 0.0072293019 0.0490028897 0.0059930516 -0.0031237751 0.0039162072
0.0007959948 0.0060458045 0.0059930516 0.0103925533 0.0018999695 0.0030031955
-0.0017817997 0.001402342 -0.0031237751 0.0018999695 0.0088113247 0.0026663635
0.0032222753 0.0036164473 0.0039162072 0.0030031955 0.0026663635 0.0087469631

